"","STATION","DATE","GEAR","HOUR","MINUTE","ESTUARY","ZONE","DEPTH","TRANS","W_DIR","W_FOR","SEA_ST","CLOUD","SAL_SUR","SAL_BOT","TMP_SUR","TMP_BOT","OXY_SUR","OXY_BOT","HABITAT","PH_SUR","PH_BOT","FNU_SURF","FNU_BOT","X","X.1"
"17",7001,"10/10/2010",1,9,35,1,5,36,6.5,"27",2,1,0,25.2,28.2,22.7,22.8,6.3,6.2,412,NA,NA,NA,NA,NA,NA
"18",6112,"10/10/2010",1,11,23,1,4,8,5.2,"27",3,2,0,24,25.2,23.1,22.6,7.2,7.4,404,NA,NA,NA,NA,NA,NA
"19",95,"10/10/2010",1,12,33,1,3,19,5,"18",3,1,0,19.9,22,24.4,23.9,5.8,5.5,322,NA,NA,NA,NA,NA,NA
"20",93,"10/10/2010",1,10,40,1,5,17,6,"27",3,2,0,26.5,27.5,22.8,22.9,7.3,6.8,402,NA,NA,NA,NA,NA,NA
"21",54,"10/10/2010",1,11,47,1,4,8,5.1,"27",2,2,0,23.7,25.5,23.8,22.8,7.6,7.2,402,NA,NA,NA,NA,NA,NA
"22",92,"10/10/2010",1,10,10,1,5,11,6.5,"22",3,2,0,26.2,27.6,22.6,22.9,7.6,6.6,402,NA,NA,NA,NA,NA,NA
"23",36,"11/8/2010",1,12,20,2,2,14,1.5,"14",2,0,0,6.6,11.4,19.9,18.2,10.8,8.9,222,NA,NA,NA,NA,NA,NA
"24",34,"11/8/2010",1,13,7,2,3,17,2.5,"18",2,1,0,13.4,15,17.5,16.6,9.6,8.3,112,NA,NA,NA,NA,NA,NA
"25",5007,"11/17/2010",1,12,0,2,4,16,2,"9",4,2,0,28.6,28.6,18.1,17.9,7.1,7.3,412,NA,NA,NA,NA,NA,NA
"26",32,"11/17/2010",1,12,49,2,5,16,1.5,"14",3,3,0,29.9,29.9,18.6,18.2,7,7.1,402,NA,NA,NA,NA,NA,NA
"27",37,"11/17/2010",1,11,30,2,4,17,3,"14",3,1,0,26.8,27.2,17.9,17.8,7.5,7.5,112,NA,NA,NA,NA,NA,NA
"28",76,"11/17/2010",1,14,2,2,5,29,4,"11",3,2,0,30.9,30.9,18.8,18.4,6.9,6.8,412,NA,NA,NA,NA,NA,NA
"29",77,"11/17/2010",1,14,38,2,5,18,3,"14",3,1,0,31,30.8,18.8,18.4,6.9,6.9,701,NA,NA,NA,NA,NA,NA
"30",3101,"11/17/2010",1,9,36,2,4,13,2.5,"9",4,4,0,27.3,27.3,17.7,17.5,6.5,6.6,404,NA,NA,NA,NA,NA,NA
"31",3224,"11/17/2010",1,10,11,2,5,16,2,"14",4,5,0,29,29.1,17.7,17.3,6.3,6.4,402,NA,NA,NA,NA,NA,NA
"32",4140,"11/17/2010",1,9,6,2,4,15,2,"9",4,4,0,28.9,28.7,17.8,17.2,7.9,8.1,404,NA,NA,NA,NA,NA,NA
"33",4246,"11/17/2010",1,15,13,2,5,19,3,"9",3,1,0,30.7,30.7,18.5,18.4,6.7,6.8,402,NA,NA,NA,NA,NA,NA
"34",4235,"12/14/2010",1,15,3,2,5,16,3,"4",2,1,0,29.5,29.8,9.7,9.2,7.5,7.7,402,NA,NA,NA,NA,NA,NA
"35",37,"12/14/2010",1,9,48,2,4,11,3,"4",2,1,0,26.9,26.9,6.9,6.6,8.9,9,112,NA,NA,NA,NA,NA,NA
"36",32,"12/14/2010",1,11,13,2,5,15,3,"4",2,1,0,28.1,28.4,8.3,8.3,8.4,8.2,402,NA,NA,NA,NA,NA,NA
"37",76,"12/14/2010",1,12,2,2,5,27,4,"4",2,1,0,30.1,31.5,9.3,11.3,8.5,7.8,412,NA,NA,NA,NA,NA,NA
"38",77,"12/14/2010",1,12,36,2,5,16,9,"4",2,1,0,31.7,31.5,12.3,11.2,7.8,7.7,701,NA,NA,NA,NA,NA,NA
"39",3116,"12/14/2010",1,14,20,2,4,12,3,"4",2,1,0,26.1,27.7,8.8,9,8.8,8,404,NA,NA,NA,NA,NA,NA
"40",5004,"12/14/2010",1,9,23,2,4,13,3.5,"4",2,1,0,26.1,26.2,6.5,6.2,10.6,9.6,412,NA,NA,NA,NA,NA,NA
"41",4121,"12/14/2010",1,14,52,2,4,10,3.5,"4",2,1,0,26,27.1,7.1,7.5,9.7,9.6,404,NA,NA,NA,NA,NA,NA
"42",6235,"12/14/2010",1,10,45,1,5,16,3.5,"4",1,1,0,28,28.4,8,7.8,8.8,8.2,402,NA,NA,NA,NA,NA,NA
"43",6128,"12/14/2010",1,10,23,1,4,10,3,"4",2,1,0,28,27.9,7.8,7.8,8.8,9.1,404,NA,NA,NA,NA,NA,NA
"44",3231,"12/14/2010",1,13,30,2,5,16,3.5,"4",2,1,0,29.6,30.1,9.7,9.3,8.2,7.9,402,NA,NA,NA,NA,NA,NA
"45",32,"1/23/2011",1,9,25,2,5,14,5,"9",2,2,0,29,29.8,9.8,10.1,8.5,8.3,402,NA,NA,NA,NA,NA,NA
"46",76,"1/23/2011",1,10,14,2,5,28,10,"9",3,2,0,29.7,30,10.1,9.9,8.7,8.6,412,NA,NA,NA,NA,NA,NA
"47",36,"1/23/2011",1,15,18,2,2,15,3.5,"14",2,0,0,11.3,11.4,11.2,10.9,13.3,12.3,222,NA,NA,NA,NA,NA,NA
"48",34,"1/23/2011",1,15,52,2,3,13,4.5,"14",2,1,0,15.1,18.2,11.3,10.4,12.1,10.8,112,NA,NA,NA,NA,NA,NA
"49",37,"1/23/2011",1,8,52,2,4,14,5,"4",2,1,0,24.4,27.5,9.1,8.9,8.9,8.7,112,NA,NA,NA,NA,NA,NA
"50",77,"1/23/2011",1,11,14,2,5,17,10,"9",3,2,0,30.1,30.1,10.3,10.3,8.9,8.8,701,NA,NA,NA,NA,NA,NA
"51",5009,"1/23/2011",1,9,50,2,4,13,8,"9",2,2,0,28.6,28.9,9.6,9.6,8.7,8.7,412,NA,NA,NA,NA,NA,NA
"52",4232,"1/23/2011",1,11,39,2,5,17,7.5,"14",3,2,0,29.5,29.6,9.9,10,8.9,8.9,402,NA,NA,NA,NA,NA,NA
"53",4133,"1/23/2011",1,13,48,2,4,16,8,"9",3,3,0,29.7,29.7,10.1,10.2,8.9,8.9,404,NA,NA,NA,NA,NA,NA
"54",3219,"1/23/2011",1,12,19,2,5,15,6,"14",3,2,0,29.4,29.5,9.3,9.2,9.1,9,402,NA,NA,NA,NA,NA,NA
"55",3105,"1/23/2011",1,13,9,2,4,11,11,"14",3,2,0,28.3,28.4,9.6,9.5,8.8,8.7,404,NA,NA,NA,NA,NA,NA
"56",54,"2/14/2011",1,12,20,1,4,9,7,"27",2,1,0,20.8,24.2,11.7,11.1,10.2,10.2,402,NA,NA,NA,NA,NA,NA
"57",6208,"2/14/2011",1,11,22,1,5,14,8,"27",1,1,0,7.6,29.2,13.1,11.4,10.1,9.4,402,NA,NA,NA,NA,NA,NA
"58",6105,"2/14/2011",1,11,49,1,4,8,7,"27",2,1,0,14,25.3,12.8,11.3,10.4,10,404,NA,NA,NA,NA,NA,NA
"59",95,"2/14/2011",1,13,5,1,3,20,3,"27",4,1,0,6.9,28.5,12.5,11.5,10.4,9,322,NA,NA,NA,NA,NA,NA
"60",7008,"3/15/2011",1,9,50,1,5,42,3,"32",2,2,0,14.6,26.8,18.5,17.8,8,7.7,412,NA,NA,NA,NA,NA,NA
"61",92,"3/15/2011",1,10,42,1,5,13,3,"32",3,2,0,13.8,25,18.5,18.4,7.5,7.5,402,NA,NA,NA,NA,NA,NA
"62",95,"3/15/2011",1,12,37,1,3,32,1.5,"22",3,1,0,0.2,0.1,17.7,17.2,6.9,6.6,322,NA,NA,NA,NA,NA,NA
"63",6226,"3/15/2011",1,11,7,1,5,14,2,"32",2,2,0,7.7,24.3,18.5,17.8,7.3,7.6,402,NA,NA,NA,NA,NA,NA
"64",93,"3/15/2011",1,10,14,1,5,18,3.5,"32",2,3,0,17.5,24.7,18.5,18,8,7.8,402,NA,NA,NA,NA,NA,NA
"65",3115,"3/17/2011",1,13,0,2,4,13,7,"11",3,2,0,18.6,19.3,19.9,19.2,7.9,7.5,404,NA,NA,NA,NA,NA,NA
"66",37,"3/17/2011",1,9,6,2,4,13,2,"14",1,1,0,6.8,20.5,17.5,18.1,8,6.5,112,NA,NA,NA,NA,NA,NA
"67",34,"3/17/2011",1,15,5,2,3,23,2.5,"14",2,1,0,4.4,5.7,20.5,19.5,10,8.1,112,NA,NA,NA,NA,NA,NA
"68",4113,"3/17/2011",1,13,28,2,4,12,2,"14",3,2,0,8.6,11.5,19.6,19.3,8.1,8,404,NA,NA,NA,NA,NA,NA
"69",36,"3/17/2011",1,14,30,2,2,12,3,"14",1,1,0,1.4,1.6,21.4,19.9,7.6,6.9,222,NA,NA,NA,NA,NA,NA
"70",92,"4/6/2011",1,10,8,1,5,13,3,"14",4,5,0,17.9,17.9,19.7,19.5,7,7.5,402,NA,NA,NA,NA,NA,NA
"71",7001,"4/6/2011",1,9,36,1,5,37,3.5,"14",4,4,0,19.3,30.1,19.4,18.1,7.2,4.8,412,NA,NA,NA,NA,NA,NA
"72",47,"4/6/2011",1,9,12,1,5,40,3.5,"14",4,3,0,17.6,30.6,19.1,18.5,7.1,4.8,412,NA,NA,NA,NA,NA,NA
"73",92,"8/4/2011",1,9,17,1,5,11,2,"27",2,1,0,23,27,31,29.2,4.4,2.9,402,NA,NA,NA,NA,NA,NA
"74",32,"8/4/2011",1,10,39,2,5,13,3,"27",2,1,0,25.4,27.9,31.3,29.5,5.5,3,402,NA,NA,NA,NA,NA,NA
"75",6235,"8/4/2011",1,10,14,1,5,15,7,"27",2,2,0,25.3,25.4,30.8,30.5,5.1,5.4,402,NA,NA,NA,NA,NA,NA
"76",32,"10/17/2011",1,8,33,2,5,11,6,"36",2,1,0,26,27.2,23.6,24,7,6.3,402,NA,NA,NA,NA,NA,NA
"77",36,"10/17/2011",1,14,12,2,2,12,3,"9",2,0,0,8.1,9.6,26.1,24.8,8.1,5.3,222,NA,NA,NA,NA,NA,NA
"78",4122,"10/17/2011",1,11,50,2,4,8,4,"7",2,1,0,24.7,26.7,24.9,24.6,6.7,6.2,404,NA,NA,NA,NA,NA,NA
"79",3230,"10/17/2011",1,10,40,2,5,14,10,"4",2,1,0,25.9,28.3,24.7,24.5,6.4,4.4,402,NA,NA,NA,NA,NA,NA
"80",3133,"10/17/2011",1,11,17,2,4,10,8,"4",2,1,0,23.7,26.3,24.4,24.6,7.5,4,404,NA,NA,NA,NA,NA,NA
"81",77,"10/17/2011",1,9,40,2,5,15,8,"4",2,2,0,27.7,30,24,24.6,6.9,6.3,701,NA,NA,NA,NA,NA,NA
"82",37,"10/17/2011",1,12,56,2,4,9,4,"9",2,1,0,22.4,24.9,25.5,24.7,7.3,6.6,112,NA,NA,NA,NA,NA,NA
"83",4211,"10/17/2011",1,10,13,2,5,9,4,"4",2,2,0,25.7,27.3,24.2,24.3,7.2,4.5,402,NA,NA,NA,NA,NA,NA
"84",34,"10/17/2011",1,14,47,2,3,17,3,"14",2,1,0,12.1,13.5,25.4,24.7,8.2,6.5,112,NA,NA,NA,NA,NA,NA
"85",36,"1/18/2012",1,10,52,2,2,13,2.5,"36",2,1,0,14.2,14.6,14.8,14.6,7.8,7.8,222,NA,NA,NA,NA,NA,NA
"86",34,"1/18/2012",1,12,5,2,3,21,3.5,"36",2,1,0,16.8,17.3,14.6,14.4,8.7,8.3,112,NA,NA,NA,NA,NA,NA
"87",32,"2/7/2012",1,11,52,2,5,15,5,"4",1,1,0,18.4,21,16.9,17,8.3,7.8,402,NA,NA,NA,NA,NA,NA
"88",95,"2/7/2012",1,13,25,1,3,18,2.5,"4",1,0,0,3.4,29.4,18,18.8,7.4,6.5,322,NA,NA,NA,NA,NA,NA
"89",6128,"2/7/2012",1,12,16,1,4,11,5,"4",1,1,0,15.2,19.7,17.2,16.9,8.4,7.8,404,NA,NA,NA,NA,NA,NA
"90",47,"10/10/2012",1,8,50,1,5,37,3.5,"36",1,0,0,11.8,25.3,22.2,23,5.3,4.1,412,NA,NA,NA,NA,NA,NA
"91",93,"10/10/2012",1,10,15,1,5,17,5,"36",1,1,0,22.7,28,23.2,24.1,5.8,4.8,402,NA,NA,NA,NA,NA,NA
"92",6107,"10/10/2012",1,11,36,1,4,10,4,"9",2,1,0,19.9,24.1,23.9,24,6.4,4.3,404,NA,NA,NA,NA,NA,NA
"93",6242,"10/10/2012",1,9,49,1,5,12,4,"36",1,1,0,14.9,26.9,22.6,23.6,6.1,6.4,402,NA,NA,NA,NA,NA,NA
"94",7002,"10/10/2012",1,9,15,1,5,36,4.5,"36",1,0,0,20.6,29,22.4,23.7,6.2,4.6,412,NA,NA,NA,NA,NA,NA
"95",54,"12/13/2012",1,12,27,1,4,7,6,"4",3,1,0,25.6,28.3,14.3,15.3,8,7.9,402,NA,NA,NA,NA,NA,NA
"96",6208,"12/13/2012",1,12,4,1,5,13,6,"4",3,2,0,25.8,28.4,14.3,15,8.3,7.3,402,NA,NA,NA,NA,NA,NA
"97",92,"3/7/2013",1,10,11,1,5,11,5,"9",4,3,0,20.7,21.8,14.6,14.5,8.1,7.5,402,NA,NA,NA,NA,NA,NA
"98",7008,"3/7/2013",1,10,43,1,5,45,4.5,"9",3,3,0,20.5,33,14.9,18.2,8.1,5.2,412,NA,NA,NA,NA,NA,NA
"99",32,"3/14/2013",1,12,9,2,5,14,6,"9",3,3,0,20.5,24.3,15.2,15.5,8,7.2,402,NA,NA,NA,NA,NA,NA
"100",34,"3/14/2013",1,9,26,2,3,16,2.3,"4",4,1,0,4.6,20.4,14.2,15.9,8,5.1,112,NA,NA,NA,NA,NA,NA
"101",36,"3/14/2013",1,8,49,2,2,10,2.3,"4",4,1,0,0,3.1,14.6,14.9,8.8,6.6,222,NA,NA,NA,NA,NA,NA
"102",37,"3/14/2013",1,11,25,2,4,16,2.5,"4",4,2,0,23.7,23.9,15.2,14.8,7,7,112,NA,NA,NA,NA,NA,NA
"103",76,"3/14/2013",1,12,58,2,5,18,6.3,"9",2,2,0,20.8,29.8,15.6,16.4,8,6.2,402,NA,NA,NA,NA,NA,NA
"104",77,"3/14/2013",1,13,36,2,5,17,5.5,"9",1,2,0,23.5,29.9,16.2,17.1,7.5,6.2,701,NA,NA,NA,NA,NA,NA
"105",3131,"3/14/2013",1,15,6,2,4,12,4,"18",3,3,0,22.2,22.3,16.1,15.2,7.8,7.7,404,NA,NA,NA,NA,NA,NA
"106",3209,"3/14/2013",1,14,45,2,5,13,6.5,"18",2,2,0,21.5,21.7,15.7,15.3,7.9,7.8,402,NA,NA,NA,NA,NA,NA
"107",4131,"3/14/2013",1,15,43,2,4,9,4,"18",3,3,0,21.5,24.3,16,15.4,8.6,7.2,404,NA,NA,NA,NA,NA,NA
"108",4233,"3/14/2013",1,14,2,2,5,17,6.5,"9",1,1,0,23.8,26.1,16.6,16.3,7.7,6.8,402,NA,NA,NA,NA,NA,NA
"109",5004,"3/14/2013",1,10,46,2,4,16,2.3,"4",4,2,0,23.6,23.8,15.2,14.9,6.8,7.2,412,NA,NA,NA,NA,NA,NA
"110",32,"5/14/2013",1,9,18,2,5,14,3,"32",2,1,0,12.5,21.6,22,21.9,7.9,5.3,402,NA,NA,NA,NA,NA,NA
"111",37,"5/14/2013",1,13,13,2,4,16,2.3,"18",2,1,0,11.3,16.6,24.7,22.8,8.8,4.7,112,NA,NA,NA,NA,NA,NA
"112",76,"5/14/2013",1,9,45,2,5,17,5,"32",2,1,0,13.4,22.9,22.1,22,8,6.3,402,NA,NA,NA,NA,NA,NA
"113",77,"5/14/2013",1,10,13,2,5,17,7,"32",2,1,0,14.7,21.2,22.2,22.3,8.1,6.1,701,NA,NA,NA,NA,NA,NA
"114",3126,"5/14/2013",1,11,30,2,4,13,3.5,"27",2,1,0,16.4,20.1,23.3,22.5,7.5,4.2,404,NA,NA,NA,NA,NA,NA
"115",3230,"5/14/2013",1,10,49,2,5,16,2,"27",1,1,0,16.8,19,23.1,22.2,7.7,6.3,402,NA,NA,NA,NA,NA,NA
"116",4122,"5/14/2013",1,12,39,2,4,11,2,"22",2,1,0,15.6,19.7,24.3,22.2,7.8,5.7,404,NA,NA,NA,NA,NA,NA
"117",4205,"5/14/2013",1,12,10,2,5,14,4.5,"27",2,1,0,15.1,22,24.3,22,8.2,5.7,402,NA,NA,NA,NA,NA,NA
"118",5002,"5/14/2013",1,8,2,2,4,13,1.5,"36",1,1,0,9.8,10.8,22.2,22.1,7.6,6.8,412,NA,NA,NA,NA,NA,NA
"119",47,"10/8/2013",1,7,50,1,5,38,4.5,"36",4,2,0,18.4,28.1,24.3,25.9,5.5,5,412,NA,NA,NA,NA,NA,NA
"120",54,"10/8/2013",1,9,59,1,4,8,5.5,"36",3,2,0,13.9,22.4,23.3,23.2,6.7,6.3,402,NA,NA,NA,NA,NA,NA
"121",92,"10/8/2013",1,9,30,1,5,11,5.5,"36",4,4,0,19.7,20,23.2,23.2,6.9,5.4,402,NA,NA,NA,NA,NA,NA
"122",93,"10/8/2013",1,9,0,1,5,17,9,"36",4,6,0,20.9,22.8,23.6,23.9,6.6,5.6,402,NA,NA,NA,NA,NA,NA
"123",95,"10/8/2013",1,11,17,1,3,23,3.3,"36",3,1,0,7.2,11.3,24.4,24.2,4.8,4.9,322,NA,NA,NA,NA,NA,NA
"124",6221,"10/8/2013",1,10,25,1,5,15,5.5,"36",3,2,0,23.8,24.5,24.2,24.3,6.8,6.1,402,NA,NA,NA,NA,NA,NA
"125",7007,"10/8/2013",1,8,32,1,5,40,11,"36",4,4,0,26,28.9,24.8,25.9,6.3,4.9,412,NA,NA,NA,NA,NA,NA
"126",32,"12/16/2013",1,9,28,2,5,13,3,"36",2,1,0,25.6,28.1,11.1,12.1,8.8,7.6,402,NA,NA,NA,NA,NA,NA
"127",34,"12/16/2013",1,13,58,2,3,16,3.5,"9",2,0,0,11.6,14.3,12.7,12.4,9.7,8.3,112,NA,NA,NA,NA,NA,NA
"128",36,"12/16/2013",1,13,28,2,2,14,3,"27",1,0,0,7.8,11,13.3,13.2,9.1,6.8,222,NA,NA,NA,NA,NA,NA
"129",37,"12/16/2013",1,8,58,2,4,15,4,"0",0,0,0,21.3,23.4,10.8,11,9.2,8.1,112,NA,NA,NA,NA,NA,NA
"130",76,"12/16/2013",1,10,12,2,5,17,5,"36",2,2,0,26.1,28.4,11.6,12.3,8.4,7.2,402,NA,NA,NA,NA,NA,NA
"131",77,"12/16/2013",1,10,40,2,5,16,3,"36",3,2,0,27.9,28.4,12,12.1,8.1,7.3,701,NA,NA,NA,NA,NA,NA
"132",3115,"12/16/2013",1,12,2,2,4,11,8,"0",0,0,0,25.8,26,11.5,11.2,8,8.1,404,NA,NA,NA,NA,NA,NA
"133",3215,"12/16/2013",1,11,37,2,5,13,3,"36",2,1,0,27,27.4,12,12.1,8.2,7.8,402,NA,NA,NA,NA,NA,NA
"134",4115,"12/16/2013",1,12,25,2,4,11,3.5,"0",0,0,0,26.3,26.4,11.9,11.5,8.3,8.1,404,NA,NA,NA,NA,NA,NA
"135",4241,"12/16/2013",1,11,3,2,5,18,3.5,"36",3,2,0,26.7,29.6,11.4,13,8.6,7.2,402,NA,NA,NA,NA,NA,NA
"136",5004,"12/16/2013",1,8,37,2,4,12,5,"0",0,0,0,20.3,21.6,10.4,10.5,9.1,8.5,412,NA,NA,NA,NA,NA,NA
"137",47,"1/14/2014",1,10,8,1,5,42,6,"36",3,1,0,12.8,25.4,11.6,11.7,8.3,7.5,412,NA,NA,NA,NA,NA,NA
"138",54,"1/14/2014",1,11,1,1,4,8,4,"36",2,1,0,12.9,24.1,11.3,11.6,9.3,7.6,402,NA,NA,NA,NA,NA,NA
"139",92,"1/14/2014",1,10,35,1,5,11,8,"36",2,1,0,21.5,26.5,11.4,12.2,9,7.9,402,NA,NA,NA,NA,NA,NA
"140",93,"1/14/2014",1,12,2,1,5,18,9,"9",2,2,0,21.2,25.6,12.1,12.1,9.2,7.9,402,NA,NA,NA,NA,NA,NA
"141",95,"1/14/2014",1,9,28,1,3,23,3.5,"36",3,1,0,6.1,13.1,11,11.3,8.3,8,322,NA,NA,NA,NA,NA,NA
"142",6119,"1/14/2014",1,11,26,1,4,11,4,"9",2,1,0,12.8,22.5,11.8,11.9,8.9,8.2,404,NA,NA,NA,NA,NA,NA
"143",7008,"1/14/2014",1,12,55,1,5,43,10,"14",2,2,0,22.1,31.3,12.6,14,8.7,6.5,412,NA,NA,NA,NA,NA,NA
"144",32,"1/22/2014",1,11,43,2,5,14,3,"14",2,1,0,23.6,30.7,10.4,12.1,9.1,7.6,402,NA,NA,NA,NA,NA,NA
"145",34,"1/22/2014",1,9,44,2,3,17,3.3,"4",2,1,0,8.1,11.8,8.8,10.8,11.4,9.8,112,NA,NA,NA,NA,NA,NA
"146",36,"1/22/2014",1,9,14,2,2,12,5,"9",2,1,0,5.8,6.4,9.5,9.8,9.4,9,222,NA,NA,NA,NA,NA,NA
"147",37,"1/22/2014",1,10,49,2,4,17,3.5,"9",1,1,0,20.1,23,9.5,8.9,9.4,8.9,112,NA,NA,NA,NA,NA,NA
"148",76,"1/22/2014",1,12,48,2,5,18,5.5,"22",2,1,0,28.7,32.5,11.8,12.4,8.4,7.6,402,NA,NA,NA,NA,NA,NA
"149",77,"1/22/2014",1,13,16,2,5,17,5,"22",2,1,0,29.1,31.9,11.3,12.4,8.5,8,701,NA,NA,NA,NA,NA,NA
"150",3104,"1/22/2014",1,14,41,2,4,11,7.5,"25",3,2,0,25.8,25.9,10.5,10.5,8.7,8.7,404,NA,NA,NA,NA,NA,NA
"151",3219,"1/22/2014",1,14,14,2,5,14,3,"27",3,2,0,27.6,27.8,10.7,10.5,8.7,8.7,402,NA,NA,NA,NA,NA,NA
"152",4115,"1/22/2014",1,15,7,2,4,12,4.5,"27",3,2,0,25.6,25.6,10.1,10,8.9,8.9,404,NA,NA,NA,NA,NA,NA
"153",5008,"1/22/2014",1,11,19,2,4,13,3,"9",1,1,0,25.4,27.8,9.8,10.7,9,8.3,412,NA,NA,NA,NA,NA,NA
"154",6230,"1/22/2014",1,12,7,1,5,18,3,"14",2,1,0,25.3,29.8,10.6,11.6,8.9,7.9,402,NA,NA,NA,NA,NA,NA
"155",54,"3/14/2014",1,11,22,1,4,8,3.5,"9",4,4,0,17.2,21,15.5,15.6,8.3,7.6,402,NA,NA,NA,NA,NA,NA
"156",95,"3/14/2014",1,12,1,1,3,31,2.5,"9",4,2,0,3,29.4,15.9,15.5,7.9,5.7,322,NA,NA,NA,NA,NA,NA
"157",6134,"3/14/2014",1,10,58,1,4,13,3.5,"9",3,4,0,15,23,15.5,15.4,8.3,7.2,404,NA,NA,NA,NA,NA,NA
"158",47,"4/9/2014",1,11,28,1,5,40,2,"36",4,2,0,4.7,30.4,18.4,17.3,6.2,4.8,412,NA,NA,NA,NA,NA,NA
"159",93,"4/9/2014",1,12,25,1,5,17,4,"36",4,4,0,9.8,17.3,18,18.3,7.8,7.2,402,NA,NA,NA,NA,NA,NA
"160",6117,"4/9/2014",1,14,10,1,4,10,3,"36",3,2,0,15.4,19.4,18.5,18.4,9,6.2,404,NA,NA,NA,NA,NA,NA
"161",6227,"4/9/2014",1,13,38,1,5,13,3.5,"36",4,3,0,14,20,19,18.5,7.7,7.1,402,NA,NA,NA,NA,NA,NA
"162",7004,"4/9/2014",1,11,57,1,5,36,5,"36",4,4,0,12.8,27.6,17.7,17.2,7,5.4,412,NA,NA,NA,NA,NA,NA
"163",32,"4/16/2014",1,13,10,2,5,15,3,"14",4,4,0,11.9,13.8,18,17.9,8.3,7.6,402,NA,NA,NA,NA,NA,NA
"164",34,"4/16/2014",1,9,50,2,3,14,1,"4",3,1,0,0.1,0.1,16.4,16.1,7.5,7.8,112,NA,NA,NA,NA,NA,NA
"165",36,"4/16/2014",1,9,16,2,2,12,1.3,"4",3,1,0,0.1,0.1,16.4,16,6.9,7.1,222,NA,NA,NA,NA,NA,NA
"166",37,"4/16/2014",1,10,56,2,4,18,1.5,"7",2,2,0,8.1,17.2,16.8,18.6,9.1,6.6,112,NA,NA,NA,NA,NA,NA
"167",76,"4/16/2014",1,13,49,2,5,18,3,"14",4,4,0,14.5,24.5,18.3,18,8.3,6,402,NA,NA,NA,NA,NA,NA
"168",77,"4/16/2014",1,14,14,2,5,19,3.5,"14",4,3,0,14.8,25.4,18.9,18.1,8.4,6.9,701,NA,NA,NA,NA,NA,NA
"169",3116,"4/16/2014",1,15,41,2,4,12,2,"14",3,3,0,10.1,11.8,19.6,18.4,9.1,7.3,404,NA,NA,NA,NA,NA,NA
"170",3215,"4/16/2014",1,15,18,2,5,15,2.5,"14",3,3,0,15.3,16.5,19.6,18.3,8.6,7.6,402,NA,NA,NA,NA,NA,NA
"171",4231,"4/16/2014",1,14,47,2,5,17,5,"14",3,3,0,14.9,18.6,18.9,18.5,9.7,7.5,402,NA,NA,NA,NA,NA,NA
