STA,DATE,GEAR,CODE,NAME,MIN.SL,MAX.SL,MEASURED,TOT.NUM,TOT.WEIGHT
32,2/19/2008,1,14050030301,Lolliguncula brevis,NA,NA,41,41,171.4
32,2/19/2008,1,5010010101,Mnemiopsis mccradyi,NA,NA,NA,NA,NA
32,2/19/2008,1,36030700103,Peprilus burti,NA,NA,14,14,51.4
32,2/19/2008,1,36030790101,Trichiurus lepturus,NA,NA,2,2,27.3
34,2/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,13,2.9
34,2/19/2008,1,36030050201,Ariopsis felis,NA,NA,1,1,54.1
34,2/19/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,1,25.4
34,2/19/2008,1,36030170201,Brevoortia patronus,NA,NA,12,12,368.7
34,2/19/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,27.5
34,2/19/2008,1,36030620401,Leiostomus xanthurus,NA,NA,1,1,0.2
34,2/19/2008,1,36030620601,Micropogonias undulatus,NA,NA,25,25,135.5
36,2/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,1939,306.3
36,2/19/2008,1,36030370103,Ictalurus furcatus,NA,NA,NA,1,578.9
36,2/19/2008,1,36030620601,Micropogonias undulatus,NA,NA,21,21,1002.6
36,2/19/2008,1,36030620901,Pogonias cromis,NA,NA,NA,1,118.1
37,2/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,3,2.6
37,2/19/2008,1,36030050201,Ariopsis felis,NA,NA,16,16,166.7
37,2/19/2008,1,29350230203,Callinectes sapidus,NA,NA,3,3,1.5
37,2/19/2008,1,36030530101,Cynoscion arenarius,NA,NA,6,6,65.2
37,2/19/2008,1,29350010103,Litopenaeus setiferus,NA,NA,6,6,64.5
37,2/19/2008,1,36030620601,Micropogonias undulatus,NA,NA,50,68,10.9
37,2/19/2008,1,36030700103,Peprilus burti,NA,NA,3,3,1.2
32,3/25/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,1499,3930.4
32,3/25/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,2,46
32,3/25/2008,1,14050030301,Lolliguncula brevis,NA,NA,46,46,370.9
32,3/25/2008,1,36030620601,Micropogonias undulatus,NA,NA,2,2,0.4
32,3/25/2008,1,36030700103,Peprilus burti,NA,NA,3,3,24.3
32,3/25/2008,1,36030590101,Pomatomus saltatrix,NA,NA,NA,1,21.6
32,3/25/2008,1,36030790101,Trichiurus lepturus,NA,NA,11,11,174.6
34,3/25/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,605,252.7
34,3/25/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,52,1287.1
34,3/25/2008,1,36030620401,Leiostomus xanthurus,NA,NA,2,2,3
34,3/25/2008,1,36030620601,Micropogonias undulatus,NA,NA,4,4,201.7
36,3/25/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,433,91.7
36,3/25/2008,1,36030370101,Ictalurus punctatus,NA,NA,NA,1,422
36,3/25/2008,1,36030620401,Leiostomus xanthurus,NA,NA,3,3,4
36,3/25/2008,1,36030620601,Micropogonias undulatus,NA,NA,15,15,1144.2
37,3/25/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,2584,4774.4
37,3/25/2008,1,36030530101,Cynoscion arenarius,NA,NA,1,1,44.3
37,3/25/2008,1,36030170301,Dorosoma petenense,NA,NA,NA,10,174.5
37,3/25/2008,1,29350010103,Litopenaeus setiferus,NA,NA,3,3,29
37,3/25/2008,1,14050030301,Lolliguncula brevis,NA,NA,29,29,245.5
37,3/25/2008,1,36030700103,Peprilus burti,NA,NA,33,33,204.8
37,3/25/2008,1,36030590101,Pomatomus saltatrix,NA,NA,NA,1,20.1
37,3/25/2008,1,36030790101,Trichiurus lepturus,NA,NA,11,11,74.4
32,4/21/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,179,461.4
32,4/21/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,2,52.3
32,4/21/2008,1,36030270101,Elops saurus,NA,NA,NA,2,0.5
32,4/21/2008,1,14050030301,Lolliguncula brevis,NA,NA,19,19,141.8
32,4/21/2008,1,36030700103,Peprilus burti,NA,NA,4,4,95.5
32,4/21/2008,1,36030750101,Syngnathus louisianae,NA,NA,NA,1,0.1
32,4/21/2008,1,36030790101,Trichiurus lepturus,NA,NA,16,16,351.1
34,4/21/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,91,176
34,4/21/2008,1,36030170201,Brevoortia patronus,NA,NA,5,5,1.2
34,4/21/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,6.2
34,4/21/2008,1,36030530101,Cynoscion arenarius,NA,NA,1,1,0.3
34,4/21/2008,1,36030620401,Leiostomus xanthurus,NA,NA,2,2,10.9
34,4/21/2008,1,36030620601,Micropogonias undulatus,NA,NA,1,1,60.4
36,4/21/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,688,341.3
36,4/21/2008,1,36030170201,Brevoortia patronus,NA,NA,4,4,3.1
36,4/21/2008,1,36030530101,Cynoscion arenarius,NA,NA,17,17,6.5
36,4/21/2008,1,36030530102,Cynoscion nebulosus,NA,NA,1,1,52.3
36,4/21/2008,1,36030620401,Leiostomus xanthurus,NA,NA,7,7,146.1
36,4/21/2008,1,36030620601,Micropogonias undulatus,NA,NA,43,43,3098.6
37,4/21/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,1976,4876.2
37,4/21/2008,1,36030170201,Brevoortia patronus,NA,NA,1,1,44.3
37,4/21/2008,1,36030530101,Cynoscion arenarius,NA,NA,4,4,0.2
37,4/21/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,1,1,10.3
37,4/21/2008,1,14050030301,Lolliguncula brevis,NA,NA,2,2,2.9
37,4/21/2008,1,36030620601,Micropogonias undulatus,NA,NA,17,17,68.9
37,4/21/2008,1,36030700103,Peprilus burti,NA,NA,2,2,46
37,4/21/2008,1,36030790101,Trichiurus lepturus,NA,NA,50,180,4066.5
32,5/19/2008,1,36030280101,Anchoa hepsetus,NA,NA,NA,1,13.7
32,5/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,3040,7193.4
32,5/19/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,1,36.6
32,5/19/2008,1,36030170201,Brevoortia patronus,NA,NA,1,1,1.2
32,5/19/2008,1,36030530101,Cynoscion arenarius,NA,NA,4,4,21.8
32,5/19/2008,1,36030530103,Cynoscion nothus,NA,NA,3,3,93
32,5/19/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,3,3,7.8
32,5/19/2008,1,36030620401,Leiostomus xanthurus,NA,NA,4,4,33
32,5/19/2008,1,14050030301,Lolliguncula brevis,NA,NA,50,69,364.6
32,5/19/2008,1,36030620601,Micropogonias undulatus,NA,NA,5,5,119.9
32,5/19/2008,1,36030700103,Peprilus burti,NA,NA,4,4,127.5
32,5/19/2008,1,36030790101,Trichiurus lepturus,NA,NA,1,1,4.6
34,5/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,183,788.8
34,5/19/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,2,53.3
34,5/19/2008,1,36030110202,Citharichthys spilopterus,NA,NA,NA,1,1
34,5/19/2008,1,36030530101,Cynoscion arenarius,NA,NA,4,4,21.8
34,5/19/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,3,3,8
34,5/19/2008,1,36030620401,Leiostomus xanthurus,NA,NA,4,4,34.8
34,5/19/2008,1,36030620601,Micropogonias undulatus,NA,NA,5,5,120.1
34,5/19/2008,1,36030770206,Sphoeroides parvus,NA,NA,NA,1,0.1
34,5/19/2008,1,36030790101,Trichiurus lepturus,NA,NA,1,1,4.6
36,5/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,111,80.9
36,5/19/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,321.1
36,5/19/2008,1,36030530101,Cynoscion arenarius,NA,NA,12,12,12.2
36,5/19/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,12,12,42.2
36,5/19/2008,1,36030620401,Leiostomus xanthurus,NA,NA,50,69,302
36,5/19/2008,1,29350010103,Litopenaeus setiferus,NA,NA,2,2,28.5
36,5/19/2008,1,36030620601,Micropogonias undulatus,NA,NA,6,6,285.6
37,5/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,35,9.7
37,5/19/2008,1,29350230201,Callinectes similis,NA,NA,2,2,1.4
37,5/19/2008,1,36030530101,Cynoscion arenarius,NA,NA,50,90,20.4
37,5/19/2008,1,36030170301,Dorosoma petenense,NA,NA,NA,1,36.1
37,5/19/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,6,6,29.5
37,5/19/2008,1,36030620401,Leiostomus xanthurus,NA,NA,4,4,51.4
37,5/19/2008,1,14050030301,Lolliguncula brevis,NA,NA,1,1,0.3
37,5/19/2008,1,36030350602,Microgobius thalassinus,NA,NA,NA,1,0
37,5/19/2008,1,36030620601,Micropogonias undulatus,NA,NA,50,85,459.9
37,5/19/2008,1,36030080101,Porichthys plectrodon,NA,NA,NA,1,0.2
32,6/16/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,915,2060.3
32,6/16/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,3,76.5
32,6/16/2008,1,36030530101,Cynoscion arenarius,NA,NA,1,1,49.3
32,6/16/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,50,123,1124.6
32,6/16/2008,1,14050030301,Lolliguncula brevis,NA,NA,2,2,11.8
32,6/16/2008,1,36030620601,Micropogonias undulatus,NA,NA,12,12,225.9
32,6/16/2008,1,36030700103,Peprilus burti,NA,NA,4,4,176.8
32,6/16/2008,1,36020010101,Rhizoprionodon terraenovae,NA,NA,NA,1,181.2
32,6/16/2008,1,36030630301,Scomberomorus maculatus,NA,NA,NA,1,1.6
32,6/16/2008,1,36030790101,Trichiurus lepturus,NA,NA,3,3,199.1
34,6/16/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,1217,501.6
34,6/16/2008,1,36030130203,Caranx hippos,NA,NA,NA,5,33.6
34,6/16/2008,1,36030530101,Cynoscion arenarius,NA,NA,12,12,58.6
34,6/16/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,6,6,6.6
34,6/16/2008,1,36030620401,Leiostomus xanthurus,NA,NA,1,1,7.9
34,6/16/2008,1,29350010103,Litopenaeus setiferus,NA,NA,33,33,9
36,6/16/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,7470,1882.4
36,6/16/2008,1,36030170201,Brevoortia patronus,NA,NA,1,1,1.8
36,6/16/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,16.3
36,6/16/2008,1,36030530101,Cynoscion arenarius,NA,NA,18,18,60.2
36,6/16/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,10,10,20.2
36,6/16/2008,1,36030620401,Leiostomus xanthurus,NA,NA,50,93,597.1
36,6/16/2008,1,29350010103,Litopenaeus setiferus,NA,NA,19,19,10.3
36,6/16/2008,1,36030620601,Micropogonias undulatus,NA,NA,6,6,187.7
36,6/16/2008,1,36030630301,Scomberomorus maculatus,NA,NA,NA,1,3.5
37,6/16/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,235,470.1
37,6/16/2008,1,36030530101,Cynoscion arenarius,NA,NA,2,2,23.2
37,6/16/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,50,427,2974.4
37,6/16/2008,1,36030620601,Micropogonias undulatus,NA,NA,5,5,55.1
37,6/16/2008,1,36030790101,Trichiurus lepturus,NA,NA,46,46,1363.5
32,7/15/2008,1,36030280101,Anchoa hepsetus,NA,NA,NA,4,28.6
32,7/15/2008,1,14050030301,Lolliguncula brevis,NA,NA,3,3,1.4
34,7/15/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,3724,1810.1
34,7/15/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,1,20.4
34,7/15/2008,1,36030170201,Brevoortia patronus,NA,NA,2,2,6.4
34,7/15/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,0.2
34,7/15/2008,1,36030530101,Cynoscion arenarius,NA,NA,5,5,40.5
34,7/15/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,1,1,6.1
34,7/15/2008,1,36030620401,Leiostomus xanthurus,NA,NA,1,1,14.2
34,7/15/2008,1,29350010103,Litopenaeus setiferus,NA,NA,21,21,39.2
36,7/15/2008,1,36030280101,Anchoa hepsetus,NA,NA,NA,4,13.4
36,7/15/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,26527,12096.2
36,7/15/2008,1,36030130203,Caranx hippos,NA,NA,NA,3,24.3
36,7/15/2008,1,36030530101,Cynoscion arenarius,NA,NA,3,3,13.6
36,7/15/2008,1,36030620401,Leiostomus xanthurus,NA,NA,2,2,22.3
37,7/15/2008,1,29350020101,Acetes americanus carolinae,NA,NA,NA,343,14.4
37,7/15/2008,1,36030280101,Anchoa hepsetus,NA,NA,NA,2,5.6
37,7/15/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,50,1095.7
37,7/15/2008,1,36030050201,Ariopsis felis,NA,NA,25,25,38.5
37,7/15/2008,1,36030050101,Bagre marinus,NA,NA,NA,13,94.1
37,7/15/2008,1,29350230203,Callinectes sapidus,NA,NA,4,4,20
37,7/15/2008,1,29350230201,Callinectes similis,NA,NA,14,14,11.5
37,7/15/2008,1,4020020101,Chrysaora quinquecirrha,NA,NA,NA,22,412.7
37,7/15/2008,1,36030530101,Cynoscion arenarius,NA,NA,23,23,234
37,7/15/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,50,81,687.7
37,7/15/2008,1,29350010103,Litopenaeus setiferus,NA,NA,5,5,44.5
37,7/15/2008,1,14050030301,Lolliguncula brevis,NA,NA,11,11,113.7
37,7/15/2008,1,36030620601,Micropogonias undulatus,NA,NA,3,3,49.3
37,7/15/2008,1,36030770206,Sphoeroides parvus,NA,NA,NA,1,2.8
37,7/15/2008,1,36030620801,Stellifer lanceolatus,NA,NA,NA,1,6.8
37,7/15/2008,1,36030200101,Symphurus plagiusa,NA,NA,NA,2,13
32,8/21/2008,1,36030280101,Anchoa hepsetus,NA,NA,NA,8,37.3
32,8/21/2008,1,36030280103,Anchoa lyolepis,NA,NA,NA,1,0.8
32,8/21/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,190,301.4
32,8/21/2008,1,36030050201,Ariopsis felis,NA,NA,1,1,470.7
32,8/21/2008,1,36030130301,Chloroscombrus chrysurus,NA,NA,21,21,83.3
32,8/21/2008,1,14050030301,Lolliguncula brevis,NA,NA,46,46,60.4
32,8/21/2008,1,36030620601,Micropogonias undulatus,NA,NA,21,21,669.8
32,8/21/2008,1,36030700102,Peprilus paru,NA,NA,NA,3,35.3
32,8/21/2008,1,36030790101,Trichiurus lepturus,NA,NA,1,1,8.8
34,8/21/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,1459,928.1
34,8/21/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,4,144.6
34,8/21/2008,1,36030530101,Cynoscion arenarius,NA,NA,6,6,32.5
34,8/21/2008,1,36030530102,Cynoscion nebulosus,NA,NA,1,1,197.1
34,8/21/2008,1,36030170301,Dorosoma petenense,NA,NA,NA,3,23.9
34,8/21/2008,1,36030620401,Leiostomus xanthurus,NA,NA,5,5,77.4
34,8/21/2008,1,36030620601,Micropogonias undulatus,NA,NA,1,1,16.3
36,8/21/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,9076,4810.3
36,8/21/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,1,56.4
36,8/21/2008,1,36030170201,Brevoortia patronus,NA,NA,4,4,7.7
36,8/21/2008,1,36030530101,Cynoscion arenarius,NA,NA,29,29,68.1
36,8/21/2008,1,36030170301,Dorosoma petenense,NA,NA,NA,6,30.1
36,8/21/2008,1,36030620401,Leiostomus xanthurus,NA,NA,5,5,88.7
36,8/21/2008,1,29350010103,Litopenaeus setiferus,NA,NA,50,61,52.3
36,8/21/2008,1,36030620601,Micropogonias undulatus,NA,NA,3,3,359.1
36,8/21/2008,1,36030110402,Paralichthys lethostigma,NA,NA,NA,1,89.5
36,8/21/2008,1,36030670301,Trinectes maculatus,NA,NA,NA,1,3.7
37,8/21/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,111,132.2
37,8/21/2008,1,36030050101,Bagre marinus,NA,NA,NA,31,430.8
37,8/21/2008,1,36030170201,Brevoortia patronus,NA,NA,1,1,8.5
37,8/21/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,25.7
37,8/21/2008,1,36030530101,Cynoscion arenarius,NA,NA,4,4,18.8
37,8/21/2008,1,29350010103,Litopenaeus setiferus,NA,NA,33,33,153.7
37,8/21/2008,1,14050030301,Lolliguncula brevis,NA,NA,12,12,37.3
37,8/21/2008,1,36030620601,Micropogonias undulatus,NA,NA,3,3,80.8
37,8/21/2008,1,36030790101,Trichiurus lepturus,NA,NA,5,5,51
32,9/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,1929,1967.6
32,9/19/2008,1,36030050201,Ariopsis felis,NA,NA,1,1,344.1
32,9/19/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,1,1.1
32,9/19/2008,1,36030130301,Chloroscombrus chrysurus,NA,NA,8,8,22.8
32,9/19/2008,1,36030530101,Cynoscion arenarius,NA,NA,3,3,2.5
32,9/19/2008,1,36030680201,Lagodon rhomboides,NA,NA,NA,1,9.3
32,9/19/2008,1,14050030301,Lolliguncula brevis,NA,NA,3,3,10.5
32,9/19/2008,1,36030620601,Micropogonias undulatus,NA,NA,12,12,525
32,9/19/2008,1,36030700103,Peprilus burti,NA,NA,1,1,62.3
32,9/19/2008,1,36030700102,Peprilus paru,NA,NA,NA,8,103
32,9/19/2008,1,36030130702,Selene setapinnis,NA,NA,NA,56,270.8
32,9/19/2008,1,36030790101,Trichiurus lepturus,NA,NA,4,4,69.1
37,9/19/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,281,305
37,9/19/2008,1,36030050201,Ariopsis felis,NA,NA,22,22,120.1
37,9/19/2008,1,36030050101,Bagre marinus,NA,NA,NA,34,948.2
37,9/19/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,26,291
37,9/19/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,19.2
37,9/19/2008,1,36030130301,Chloroscombrus chrysurus,NA,NA,1,1,0.2
37,9/19/2008,1,36030530101,Cynoscion arenarius,NA,NA,50,56,322.5
37,9/19/2008,1,29350010103,Litopenaeus setiferus,NA,NA,50,240,1009.1
37,9/19/2008,1,14050030301,Lolliguncula brevis,NA,NA,6,6,29.3
37,9/19/2008,1,36030620501,Menticirrhus americanus,NA,NA,2,2,6
37,9/19/2008,1,36030620601,Micropogonias undulatus,NA,NA,27,27,1184.1
37,9/19/2008,1,36030130702,Selene setapinnis,NA,NA,NA,1,2.2
37,9/19/2008,1,36030620801,Stellifer lanceolatus,NA,NA,NA,15,7.6
37,9/19/2008,1,36030200101,Symphurus plagiusa,NA,NA,NA,1,1
34,9/24/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,395,426.5
34,9/24/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,45,762
34,9/24/2008,1,36030170201,Brevoortia patronus,NA,NA,2,2,81.8
34,9/24/2008,1,36030170301,Dorosoma petenense,NA,NA,NA,7,68.4
34,9/24/2008,1,29350010103,Litopenaeus setiferus,NA,NA,4,4,11.9
34,9/24/2008,1,36030620601,Micropogonias undulatus,NA,NA,1,1,41.7
34,9/24/2008,1,36030130701,Selene vomer,NA,NA,NA,1,4.2
36,9/24/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,3272,1864.8
36,9/24/2008,1,36030050201,Ariopsis felis,NA,NA,1,1,153.8
36,9/24/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,6,94.9
36,9/24/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,0.3
36,9/24/2008,1,36030530101,Cynoscion arenarius,NA,NA,6,6,38.3
36,9/24/2008,1,36030620401,Leiostomus xanthurus,NA,NA,12,12,204.4
36,9/24/2008,1,29350010103,Litopenaeus setiferus,NA,NA,13,13,7.4
32,10/16/2008,1,36030280101,Anchoa hepsetus,NA,NA,NA,11,147.3
32,10/16/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,713,799.6
32,10/16/2008,1,36030130301,Chloroscombrus chrysurus,NA,NA,50,52,460.5
32,10/16/2008,1,36030170401,Harengula jaguana,NA,NA,7,7,135.1
32,10/16/2008,1,14050030301,Lolliguncula brevis,NA,NA,35,35,66.7
32,10/16/2008,1,36030620601,Micropogonias undulatus,NA,NA,24,24,1205.9
32,10/16/2008,1,36030170501,Opisthonema oglinum,NA,NA,NA,2,47
32,10/16/2008,1,36030700103,Peprilus burti,NA,NA,1,1,12.8
32,10/16/2008,1,36030130702,Selene setapinnis,NA,NA,NA,13,168.9
32,10/16/2008,1,36030130701,Selene vomer,NA,NA,NA,1,8.9
32,10/16/2008,1,36030790101,Trichiurus lepturus,NA,NA,1,1,1
34,10/16/2008,1,36030280101,Anchoa hepsetus,NA,NA,NA,19,201.3
34,10/16/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,194,226.7
34,10/16/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,6,218.7
34,10/16/2008,1,36030110202,Citharichthys spilopterus,NA,NA,NA,1,5.8
34,10/16/2008,1,36030530101,Cynoscion arenarius,NA,NA,9,9,70.2
34,10/16/2008,1,36030170301,Dorosoma petenense,NA,NA,NA,6,87.3
34,10/16/2008,1,36030620401,Leiostomus xanthurus,NA,NA,5,5,121.1
34,10/16/2008,1,29350010103,Litopenaeus setiferus,NA,NA,3,3,1.8
34,10/16/2008,1,29350340505,Pagurus pollicaris,NA,NA,NA,1,6
34,10/16/2008,1,36030700102,Peprilus paru,NA,NA,NA,1,20.9
36,10/16/2008,1,36030280101,Anchoa hepsetus,NA,NA,NA,6,62
36,10/16/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,6318,3196.9
36,10/16/2008,1,36030530101,Cynoscion arenarius,NA,NA,13,13,77.1
36,10/16/2008,1,36030620401,Leiostomus xanthurus,NA,NA,16,16,323.5
36,10/16/2008,1,36031060101,Lepisosteus osseus,NA,NA,NA,1,928.6
36,10/16/2008,1,29350010103,Litopenaeus setiferus,NA,NA,19,19,38.9
36,10/16/2008,1,36030620601,Micropogonias undulatus,NA,NA,1,1,41.6
37,10/16/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,20,32.6
37,10/16/2008,1,36030050201,Ariopsis felis,NA,NA,10,10,67.4
37,10/16/2008,1,36030050101,Bagre marinus,NA,NA,NA,24,624.9
37,10/16/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,5,62.7
37,10/16/2008,1,29350230201,Callinectes similis,NA,NA,22,22,39.4
37,10/16/2008,1,36030290101,Chaetodipterus faber,NA,NA,NA,1,12.2
37,10/16/2008,1,36030530101,Cynoscion arenarius,NA,NA,50,57,617.2
37,10/16/2008,1,36030110301,Etropus crossotus,NA,NA,NA,3,100.7
37,10/16/2008,1,29350010101,Farfantepenaeus aztecus,NA,NA,14,14,36.2
37,10/16/2008,1,29350010103,Litopenaeus setiferus,NA,NA,1,1,4.4
37,10/16/2008,1,14050030301,Lolliguncula brevis,NA,NA,1,1,4
37,10/16/2008,1,36030350601,Microgobius gulosus,NA,NA,NA,1,0.1
37,10/16/2008,1,36030620601,Micropogonias undulatus,NA,NA,37,37,1839.9
37,10/16/2008,1,36030800107,Prionotus tribulus,NA,NA,NA,1,5.3
37,10/16/2008,1,29260010201,Squilla empusa,NA,NA,NA,2,15.4
37,10/16/2008,1,36030620801,Stellifer lanceolatus,NA,NA,NA,1176,376.2
37,10/16/2008,1,36030200101,Symphurus plagiusa,NA,NA,NA,8,87.3
37,10/16/2008,1,36030670301,Trinectes maculatus,NA,NA,NA,2,36.7
32,11/17/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,98,148.7
32,11/17/2008,1,14050030301,Lolliguncula brevis,NA,NA,20,20,58.9
32,11/17/2008,1,36030620601,Micropogonias undulatus,NA,NA,5,5,259.5
32,11/17/2008,1,36030620801,Stellifer lanceolatus,NA,NA,NA,1,1.4
32,11/17/2008,1,36030790101,Trichiurus lepturus,NA,NA,1,1,14.7
34,11/17/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,974,804.8
34,11/17/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,5,84.5
34,11/17/2008,1,36030530101,Cynoscion arenarius,NA,NA,1,1,115.1
34,11/17/2008,1,36030620401,Leiostomus xanthurus,NA,NA,2,2,34.9
34,11/17/2008,1,29350010103,Litopenaeus setiferus,NA,NA,21,21,99.5
34,11/17/2008,1,36030620601,Micropogonias undulatus,NA,NA,19,19,765
34,11/17/2008,1,36030700102,Peprilus paru,NA,NA,NA,2,68.1
36,11/17/2008,1,36030280102,Anchoa mitchilli,NA,NA,NA,7609,4108.9
36,11/17/2008,1,36030620101,Bairdiella chrysoura,NA,NA,NA,4,30.3
36,11/17/2008,1,36030170201,Brevoortia patronus,NA,NA,3,3,54.9
36,11/17/2008,1,29350230203,Callinectes sapidus,NA,NA,1,1,0.3
36,11/17/2008,1,36030530101,Cynoscion arenarius,NA,NA,2,2,9.9
